Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Black Leather Open-Toed Sandals,1,,2,7,1,,,,,1,1,,,,,,,,,,,,10/5/2019,18,Nordstrom Rack ,Fast Fashion,,,sandals,,,,Shoes
Brown Leather Trevi Flats,,1,3,1,1,5,,3,,,,,,,,,,,,,,,3/21/2020,108,Crupon,Slow Fashion ,,,flats,,,,Shoes
Black Leather Iris Loafers,,1,3,2,2,2,6,6,,,,,,,,,,,,,,,3/21/2020,94,Crupon,Slow Fashion,,,flats,,,,Shoes
Blue Leather Sneakers,2,3,4,1,3,,1,1,1,8,8,12,9,,,,,,,,,,10/9/2019,105,Vivobarefoot/Online,Slow Fashion,,,sneakers,,,,Shoes
White Tennis Sneakers,1,1,3,5,1,12,3,9,2,,,,,,,,,,,,,,2/17/2020,120,Vivobarefoot/Online,Slow Fashion,,,sneakers,,,,Shoes
Brown Leather Chukka Boots,,,,,,1,,,6,6,3,8,14,4,12,,,,,,,,8/1/2019,110,Vivobarefoot/Online,Slow Fashion,,,boots,,,,Shoes
Black Lace-up Boots,,,,,,,1,1,6,13,1,,,,,,,,,,,,12/30/2019,198,Drifter Leather,Slow Fashion,,,boots,,,,Shoes
Black Leather Combat Boots,4,2,,,,,1,,5,1,7,9,7,10,,,,,3,14,1,16,1/1/2015,80,Rack Room/DSW,Fast Fashion,,94,boots,,,,Shoes
Brown Leather Hiking Boots,5,1,,,1,,2,4,13,11,8,,,,,,,,,,,,12/2/2019,112,Lems Shoes,Slow Fashion,,,boots,,,,Shoes
Brown Leather Combat Boots,,,,,,,,,,,1,2,2,,,,,,,,18,10,1/1/2015,80,Rack Room/DSW,Fast Fashion,,,boots,,,,Shoes
Blush Suede Flats,,,,,,,,,,,,,,,,1,,,,,,,1/1/2018,30,SteinMart,Fast Fashion,,,flats,,,,Shoes
Grey Suede Wedge Heels,,,,,,,,,,,,,,,,,,4,,,,,1/1/2018,50,Rack Room/DSW,Fast Fashion,,,heels,,,,Shoes
Brown Leather Oxford Heels,,,,,,,,,,,,,,,,,,,1,,,,1/1/2015,0,Gift,Gift,,,heels,,,,Shoes
Black Suede Wedge Heels (Toms),,,,,,,,,,,2,,,2,,,1,,1,,1,,1/1/2015,70,Online,Fast Fashion,,,heels,,,,Shoes
Black Knee High Heeled Boots,,,,,,,,,,,,,1,,,,,,,,,1,1/1/2014,100,Nordstrom Rack,Fast Fashion,,,boots,,,,Shoes
Black Tennis Shoes,1,,,2,,,,,1,,1,1,,,,,,,,,,,11/25/2019,59,Xero Shoes,Fast Fashion,,,sneakers,,,,Shoes
Black Suede Knee High Boots,,,,,,,,,,2,2,1,,,,,,,,,,,1/1/2014,80,Sears,Fast Fashion,,,boots,,,,Shoes
Black Leather Sandals,,,,,,,,,,,,,3,10,9,8,11,16,10,3,5,1,5/1/2018,50,Rack Room/DSW,Fast Fashion,,,sandals,,,,Shoes
Brown Clarks Flipflops,,,,,,,1,,,,,,,,2,,,,,,,,1/1/2013,50,Clarks,Fast Fashion,,,sandals,,,,Shoes
New Balance Sneakers,,,,,,,,,,,,,,1,,,,1,,,1,,1/1/2018,50,New Balance,Fast Fashion,,,sneakers,,,,Shoes
Vibrams Toe Shoes ,,,,1,,,,,,,,,,,,,,,,,2,,12/9/2018,50,Online,Fast Fashion,,,sneakers,,,,Shoes
