Unnamed: 0,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
7,Blue Corduroy Pants ,,,,,,2.0,,1,5,2,,,,,,,,,,,,,1/29/2020,68,Madewell,New,,,pants,,,wide leg ,Bottoms
8,Blue Pleated Pants ,3.0,1.0,5.0,4.0,2.0,8.0,,,,,,,,,,,,,,,,,5/11/2020,95,Big Bud Press,Slow Fashion,,,pants,,,straight leg,Bottoms
9,Brown Paperbag Pants,,3.0,2.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,,5/22/2020,77,Athleta,Slow Fashion,,,pants,,,tapered leg,Bottoms
10,Green Wide-leg Pants,,2.0,8.0,3.0,,,,,,,,3.0,2.0,5.0,,,,,,,,,9/20/2019,30,Poshmark ,Secondhand,,,pants,,,wide leg,Bottoms
11,Black Blockprint Wide-leg Pants,3.0,,,,,,,,,,,,,,,,,,,,,,10/22/2020,100,Matter Prints,Slow Fashion,,,pants,,,wide leg,Bottoms
12,Light Wash Straight Leg Jeans,8.0,2.0,3.0,5.0,9.0,,,,,,,,,,,,,,,,,,6/2/2020,175,Decade Studio,Slow Fashion,,,jeans,,,straight leg,Bottoms
13,Mom Jeans,,,,,,,,,,,,,,,,,,,,,,,11/5/2020,13,Madewell,Fair Trade,,,jeans,,,straight leg,Bottoms
14,Dark Wash Skinny Leg Jeans,,,,,,,,,,,,,,,,,,,,,,,8/1/2017,30,Old Navy/Online,Fast Fashion,,,jeans,,,skinny leg,Bottoms
15,Light Wash Skinny Leg Jeans,,,,1.0,,,,1,,2,1.0,,,,,,,,,,,,8/1/2017,30,Old Navy ,Fast Fashion,,,jeans,,,skinny leg,Bottoms
16,Black Girlfriend Leggings,4.0,3.0,2.0,,1.0,,2,,1,4,5.0,1.0,,,,,,1.0,3.0,1.0,2.0,3.0,1/1/2016,107,Online/Three pairs,Slow Fashion,,,leggings,,,exercise,Bottoms
17,Grey Mesh Reebok Leggings,,,,,,,1,,,,,1.0,,,,,,,,1.0,,,1/1/2017,15,Ross/Marshalls,Fast Fashion,,,leggings,,,exercise,Bottoms
18,Grey Athleta Leggings,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1/1/2016,30,Athleta,Slow Fashion,,,leggings,,,exercise,Bottoms
19,Blue Pattern Niyama Sol Leggings,,,,,,,,,,,,,,,,,,,1.0,,,,1/1/2017,0,Niyama Sol,Gift,,,leggings,,,exercise,Bottoms
20,Black and Blue Adidas Leggings,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,1/1/2017,20,Ross/Marshalls,Fast Fashion,,,leggings,,,exercise,Bottoms
21,Black Winter Leggings,3.0,3.0,,1.0,,1.0,4,,8,5,2.0,,,,,,,,,,,,12/5/2019,106,Athleta,Slow Fashion,,,leggings,,,exercise,Bottoms
22,Denim Shorts,,,,,,,,,,,,,,,,,,1.0,,,,,1/1/2016,10,Goodwill,Secondhand,,,shorts,,,straight leg,Bottoms
23,Grey KL Pencil Skirt,,,,,,,,,,,,2.0,1.0,3.0,1.0,,,2.0,,,,,8/1/2017,20,Old Navy,Fast Fashion,,,skirt,,,knee-length pencil,Bottoms
24,Black KL Pencil Skirt,,,,,,,,,,,,,,,,,,,,,,,10/15/2019,13,Eileen Fisher/Poshmark,Secondhand,,,skirt,,,knee-length pencil,Bottoms
25,Green Skinny Leg Pants,1.0,,,,,,,,,2,2.0,6.0,4.0,,3.0,2.0,5.0,6.0,6.0,6.0,2.0,8.0,11/1/2018,18,Old Navy/Online,Fast Fashion,,,jeans,,,skinny leg,Bottoms
26,Black Skinny Leg Jeans,,,,,,,,,,1,2.0,3.0,2.0,7.0,6.0,6.0,4.0,1.0,2.0,1.0,5.0,2.0,10/1/2018,25,Old Navy/Online,Fast Fashion,,,jeans,,,skinny leg,Bottoms
27,Black Ponte Stretch Pants,1.0,,,,,,,,,,,,1.0,5.0,6.0,1.0,1.0,2.0,5.0,5.0,2.0,2.0,1/9/19,50,Everlane/Online,Slow fashion,,,pants,,,skinny leg,Bottoms
28,Denim Straight Leg Jeans,1.0,2.0,,,,,,,,4,4.0,7.0,9.0,,,,,,,,,,10/5/2019,27,Nordstrom Rack,Fast Fashion,Hudson 99% Cotton,,jeans,,,straight leg,Bottoms
29,Denim Skinny Leg Jeans,,,,,,,,,,1,,1.0,5.0,3.0,7.0,2.0,,5.0,2.0,5.0,,,8/1/2018,0,Rachel,Secondhand,,,jeans,,,skinny leg,Bottoms
30,Purple Suede Pants,1.0,,,,,,,,,,,,,,,,,,,,,,8/10/2020,4,Rachel,Secondhand,,,pants,,,straight leg,Bottoms
