Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Black Pleather and Mesh Blazer ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/10/20,3,Rachel ,Secondhand ,0,blazer,long sleeve,,,Outerwear
Blue Quilted Blazer,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12/28/19,0,TheRealReal/Sandro,Secondhand,0,blazer ,long sleeve,,,Outerwear
Striped Waterfall Blazer,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/25/20,20,Instagram - H&M,Second ,0,blazer ,long sleeve ,,,Outerwear
White Blazer,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7/1/17,50,Nordstrom Rack,0,0,blazer,mid sleeve,,,Outerwear
Black Blazer Sweater,1,0,0,0,1,3,0,3,2,3,1,2,5,8,2,2,0,0,6,11,6,3,12/23/18,43,Nordstrom Rack,0,0,sweater,mid sleeve,,,Outerwear
Grey Oversized Poncho Sweater,2,1,0,0,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0,2,0,2,1/1/2016,15,Modcloth/Online,0,0,sweater,mid sleeve,,,Outerwear
Grey Cashmere Crop Sweater,1,1,0,0,0,0,0,1,0,5,1,2,2,0,0,0,0,0,0,0,0,1,8/1/2018,0,Rachel,Hand-me-down,0,sweater,mid sleeve,,,Outerwear
Black Striped Osei-Duro Coat,3,3,0,0,1,0,0,9,5,7,3,16,1,0,0,0,0,0,0,0,0,0,10/28/2019,58,TheRealReal/Osei-Duro,Secondhand,0,coat/jacket,long sleeve,,,Outerwear
Black Silky Coat,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12/23/2019,11,Goodwill,Secondhand,0,coat/jacket,long sleeve,,,Outerwear
Green Trenchcoat,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,12/23/2019,11,Goodwill,Secondhand,0,coat/jacket,long sleeve,,,Outerwear
Black London Fog Coat,0,0,0,0,0,0,0,3,10,6,6,4,0,0,0,0,0,0,3,15,20,14,2/1/2018,70,SteinMart,0,0,coat/jacket,long sleeve,,,Outerwear
Grey Puffer Coat,0,0,0,0,0,0,0,1,9,9,11,3,0,0,0,0,0,0,0,1,2,10,2/1/2018,70,SteinMart,0,0,coat/jacket,long sleeve,,,Outerwear
Peru Alpaca Sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/27/2019,0,Poppee,Secondhand,0,sweater,long sleeve,,,Outerwear
Ugly Christmas Sweater,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12/1/2018,20,Target,0,0,sweater,long sleeve,,,Outerwear
Brown Leather Jacket,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1/1/2014,30,Goodwill,Secondhand,0,coat/jacket,long sleeve,,,Outerwear
Red Hilfiger Coat,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1/1/2013,50,Macy's,0,0,coat/jacket,long sleeve,,,Outerwear
Black Leather Open-Toed Sandals,1,0,2,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10/5/2019,18,Nordstrom Rack ,0,0,sandals,,,,Shoes
Brown Leather Trevi Flats,0,1,3,1,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/21/2020,108,Crupon,Slow Fashion ,0,flats,,,,Shoes
Black Leather Iris Loafers,0,1,3,2,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/21/2020,94,Crupon,Slow Fashion,0,flats,,,,Shoes
Blue Leather Sneakers,2,3,4,1,3,0,1,1,1,8,8,12,9,0,0,0,0,0,0,0,0,0,10/9/2019,105,Vivobarefoot/Online,Slow Fashion,0,sneakers,,,,Shoes
White Tennis Sneakers,1,1,3,5,1,12,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2/17/2020,120,Vivobarefoot/Online,Slow Fashion,0,sneakers,,,,Shoes
Brown Leather Chukka Boots,0,0,0,0,0,1,0,0,6,6,3,8,14,4,12,0,0,0,0,0,0,0,8/1/2019,110,Vivobarefoot/Online,Slow Fashion,0,boots,,,,Shoes
Black Lace-up Boots,0,0,0,0,0,0,1,1,6,13,1,0,0,0,0,0,0,0,0,0,0,0,12/30/2019,198,Drifter Leather,Slow Fashion,0,boots,,,,Shoes
Black Leather Combat Boots,4,2,0,0,0,0,1,0,5,1,7,9,7,10,0,0,0,0,3,14,1,16,1/1/2015,80,Rack Room/DSW,0,94,boots,,,,Shoes
Brown Leather Hiking Boots,5,1,0,0,1,0,2,4,13,11,8,0,0,0,0,0,0,0,0,0,0,0,12/2/2019,112,Lems Shoes,Slow Fashion,0,boots,,,,Shoes
Brown Leather Combat Boots,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,18,10,1/1/2015,80,Rack Room/DSW,0,0,boots,,,,Shoes
Blush Suede Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1/1/2018,30,SteinMart,0,0,flats,,,,Shoes
Grey Suede Wedge Heels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1/1/2018,50,Rack Room/DSW,0,0,heels,,,,Shoes
Brown Leather Oxford Heels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1/1/2015,0,Gift,Gift,0,heels,,,,Shoes
Black Suede Wedge Heels (Toms),0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,1,0,1/1/2015,70,Online,0,0,heels,,,,Shoes
Black Knee High Heeled Boots,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1/1/2014,100,Nordstrom Rack,0,0,boots,,,,Shoes
Black Tennis Shoes,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,11/25/2019,59,Xero Shoes,0,0,sneakers,,,,Shoes
Black Suede Knee High Boots,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1/1/2014,80,Sears,0,0,boots,,,,Shoes
Black Leather Sandals,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,8,11,16,10,3,5,1,5/1/2018,50,Rack Room/DSW,0,0,sandals,,,,Shoes
Brown Clarks Flipflops,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1/1/2013,50,Clarks,0,0,sandals,,,,Shoes
New Balance Sneakers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1/1/2018,50,New Balance,0,0,sneakers,,,,Shoes
Vibrams Toe Shoes ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12/9/2018,50,Online,0,0,sneakers,,,,Shoes
