,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Total Wears,Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
118,White Tennis Sneakers,1,1,3,5,1,12,3,9,2,,,,,,,,,,,,,,38,2/17/2020,120,Vivobarefoot/Online,Slow Fashion,,sneakers,,,,Shoes
119,Brown Leather Chukka Boots,,,,,,1,,,6,6,3,8,14,4,12,,,,,,,,54,8/1/2019,110,Vivobarefoot/Online,Slow Fashion,,boots,,,,Shoes
120,Black Lace-up Boots,,,,,,,1,1,6,13,1,,,,,,,,,,,,22,12/30/2019,198,Drifter Leather,Slow Fashion,,boots,,,,Shoes
121,Black Leather Combat Boots,4,2,,,,,1,,5,1,7,9,7,10,,,,,3,14,1,16,88,1/1/2015,80,Rack Room/DSW,,94,boots,,,,Shoes
122,Brown Leather Hiking Boots,5,1,,,1,,2,4,13,11,8,,,,,,,,,,,,45,12/2/2019,112,Lems Shoes,Slow Fashion,,boots,,,,Shoes
123,Brown Leather Combat Boots,,,,,,,,,,,1,2,2,,,,,,,,18,10,33,1/1/2015,80,Rack Room/DSW,,,boots,,,,Shoes
124,Blush Suede Flats,,,,,,,,,,,,,,,,1,,,,,,,1,1/1/2018,30,SteinMart,,,flats,,,,Shoes
125,Grey Suede Wedge Heels,,,,,,,,,,,,,,,,,,4,,,,,5,1/1/2018,50,Rack Room/DSW,,,heels,,,,Shoes
126,Brown Leather Oxford Heels,,,,,,,,,,,,,,,,,,,1,,,,1,1/1/2015,0,Gift,Gift,,heels,,,,Shoes
127,Black Suede Wedge Heels (Toms),,,,,,,,,,,2,,,2,,,1,,1,,1,,8,1/1/2015,70,Online,,,heels,,,,Shoes
128,Black Knee High Heeled Boots,,,,,,,,,,,,,1,,,,,,,,,1,2,1/1/2014,100,Nordstrom Rack,,,boots,,,,Shoes
129,Black Tennis Shoes,1,,,2,,,,,1,,1,1,,,,,,,,,,,6,11/25/2019,59,Xero Shoes,,,sneakers,,,,Shoes
130,Black Suede Knee High Boots,,,,,,,,,,2,2,1,,,,,,,,,,,5,1/1/2014,80,Sears,,,boots,,,,Shoes
131,Black Leather Sandals,,,,,,,,,,,,,3,10,9,8,11,16,10,3,5,1,80,5/1/2018,50,Rack Room/DSW,,,sandals,,,,Shoes
132,Brown Clarks Flipflops,,,,,,,1,,,,,,,,2,,,,,,,,3,1/1/2013,50,Clarks,,,sandals,,,,Shoes
133,New Balance Sneakers,,,,,,,,,,,,,,1,,,,1,,,1,,3,1/1/2018,50,New Balance,,,sneakers,,,,Shoes
134,Vibrams Toe Shoes ,,,,1,,,,,,,,,,,,,,,,,2,,3,12/9/2018,50,Online,,,sneakers,,,,Shoes
